ID,Project,Category,TypeOfIssue,FundLost,FundsReturned,FundsRecovered,IsVerifiedSourceCode,IsPublicedTeam,Date
3058,Terra Classic,Stablecoin,Other,40000000000,0,,0,1,2022-5-8
2762,Africrypt,CeFi,Rugpull,3600000000,0,,0,1,2021-6-23
3264,Silk Road,Other,Other,3360000000,3360000000,,0,1,2012-9-19
2878,PlusToken,CeFi,Rugpull,2900000000,0,,0,0,2019-12-16
3280,Genesis,"Borrowing and Lending,CeFi",Other,2800000000,0,,0,1,2022-11-21
2861,Thodex,CeFi,Rugpull,2000000000,0,,0,1,2021-4-22
2735,BitConnect,"Borrowing and Lending,CeFi",Rugpull,2000000000,56000000,,0,0,2018-1-15
2792,Finiko,CeFi,Rugpull,1500000000,0,,0,1,2021-7-5
3052,Celsius Network,"Borrowing and Lending,CeFi",Other,1190000000,0,,0,1,2022-6-13
3283,Voyager,CeFi,Other,1000000000,0,,0,1,2022-5-7
3058,Terra Classic,Stablecoin,Other,40000000000,0,,0,1,2022-5-8
2762,Africrypt,CeFi,Rugpull,3600000000,0,,0,1,2021-6-23
3264,Silk Road,Other,Other,3360000000,3360000000,,0,1,2012-9-19
2878,PlusToken,CeFi,Rugpull,2900000000,0,,0,0,2019-12-16
3280,Genesis,"Borrowing and Lending,CeFi",Other,2800000000,0,,0,1,2022-11-21
2861,Thodex,CeFi,Rugpull,2000000000,0,,0,1,2021-4-22
2735,BitConnect,"Borrowing and Lending,CeFi",Rugpull,2000000000,56000000,,0,0,2018-1-15
2792,Finiko,CeFi,Rugpull,1500000000,0,,0,1,2021-7-5
3052,Celsius Network,"Borrowing and Lending,CeFi",Other,1190000000,0,,0,1,2022-6-13
3283,Voyager,CeFi,Other,1000000000,0,,0,1,2022-5-7
3282,BlockFi,CeFi,Other,1000000000,0,,0,1,2022-11-28
3265,FTX Group,"CeFi,Other",Other,1000000000,0,,1,1,2022-11-11
2871,WoToken,CeFi,Rugpull,1000000000,0,,0,0,2020-5-14
3220,Bitcoin Sheikh,CeFi,Other,766000000,0,,0,1,2022-10-7
2879,Ronin,Bridge,Access Control,625000000,155800000,,1,0,2022-3-29
2543,Poly Network,Other,Other,602189570,602189570,,1,0,2021-8-10
2643,Coincheck,CeFi,Other,534000000,534000000,,0,0,2018-1-26
2808,Mt. Gox (3),CeFi,Other,473000000,0,,0,0,2014-2-24
2939,MyCoin,CeFi,Rugpull,387000000,0,,0,0,2015-2-9
2814,Wormhole,Bridge,Other,326000000,326000000,,0,0,2022-2-2
3260,Trade Coin Club,CeFi,Other,295000000,0,,0,1,2016-8-2
2644,KuCoin,CeFi,Access Control,280000000,280000000,,0,0,2020-9-25
3267,Gate.io (2),CeFi,Access Control,230000000,0,,0,1,2018-4-21
2713,BitMart Exchange,CeFi,Access Control,196000000,0,,0,0,2021-12-4
3112,Nomad,Bridge,Other,190000000,36342325,,1,0,2022-8-1
2991,Beanstalk,Stablecoin,Flash Loan Attack,181000000,0,,0,0,2022-4-18
2926,BTC-e,CeFi,Rugpull,181000000,0,,0,0,2017-7-26
3190,Wintermute (2),"CeFi,Yield Aggregator",Access Control,160000000,0,,0,1,2022-9-20
2890,Token.Store,CeFi,Rugpull,160000000,0,,0,0,2019-6-11
2921,Parity,Other,Other,155000000,0,,0,1,2017-11-8
2924,Control Finance,CeFi,Rugpull,147000000,0,,0,1,2017-9-10
2903,QuadrigaCX,CeFi,Access Control,147000000,0,,0,1,2019-2-4
2652,BitGrail,CeFi,Other,146000000,0,,0,0,2018-2-10
2727,Vulcan Forged,Gaming / Metaverse,Access Control,140000000,0,,0,0,2021-12-12
2688,Boy X Highspeed,Other,Access Control,139895140,0,,0,0,2021-10-30
2684,Cream Finance,"Borrowing and Lending,Exchange (DEX)",Flash Loan Attack,130000000,0,,0,1,2021-10-27
2712,BadgerDAO,Yield Aggregator,Other,120285547,0,,0,0,2021-12-2
3215,Mango Markets,Exchange (DEX),Other,116000000,69000000,,0,0,2022-10-11
3040,Maiar DEX,Exchange (DEX),Other,113000000,113000000,,1,1,2022-6-5
3286,EmpiresX,CeFi,Other,100000000,0,,0,1,2022-9-8
3062,Horizon by Harmony,Bridge,Access Control,100000000,0,,1,1,2022-6-23
2793,Liquid,CeFi,Access Control,97000000,0,,0,0,2021-8-19
3030,Mirror Protocol,"Borrowing and Lending,Other",Other,90000000,0,,0,1,2021-10-8
3208,BSC Token Hub,Bridge,Other,89530887,0,6500000,1,1,2022-10-6
2363,Compound Labs,Borrowing and Lending,Oracle Issue,89000000,0,,0,0,2020-11-26
2805,Qubit Finance,Borrowing and Lending,Other,80000000,0,,0,0,2022-1-27
3010,Rari Fuse,Borrowing and Lending,Reentrancy,79749026,79749026,,1,0,2022-4-30
2726,AscendEX,CeFi,Access Control,77700000,0,,0,0,2021-12-11
2591,Venus,Borrowing and Lending,Oracle Issue,77000000,0,,0,0,2021-5-18
2790,Fireblocks,CeFi,Access Control,75000000,0,,0,1,2021-6-22
2663,Compound Labs (2),Borrowing and Lending,Other,71101556,0,,0,0,2021-9-30
3118,EvoDeFi Bridge,Bridge,Other,66000000,0,,0,0,2022-6-7
2809,Bitfinex (2),CeFi,Access Control,65000000,65000000,,0,1,2016-8-2
